Arquivo: leitura.c
========================================

 ID | Token                  |  Linha | Coluna | Lexema
 22 | TKCteInt               |     48 |     28 | 44
 84 | TKHash                 |     49 |      1 | #
  1 | TKId                   |     49 |      2 | define
  1 | TKId                   |     49 |      9 | TKExtern
 22 | TKCteInt               |     49 |     28 | 45
 84 | TKHash                 |     50 |      1 | #
  1 | TKId                   |     50 |      2 | define
  1 | TKId                   |     50 |      9 | TKEnum
 22 | TKCteInt               |     50 |     28 | 46
 84 | TKHash                 |     51 |      1 | #
  1 | TKId                   |     51 |      2 | define
  1 | TKId                   |     51 |      9 | TKUnion
 22 | TKCteInt               |     51 |     28 | 47
 84 | TKHash                 |     52 |      1 | #
  1 | TKId                   |     52 |      2 | define
  1 | TKId                   |     52 |      9 | TKGoto
 22 | TKCteInt               |     52 |     28 | 48
 84 | TKHash                 |     53 |      1 | #
  1 | TKId                   |     53 |      2 | define
  1 | TKId                   |     53 |      9 | TKVolatile
 22 | TKCteInt               |     53 |     28 | 49
 84 | TKHash                 |     54 |      1 | #
  1 | TKId                   |     54 |      2 | define
  1 | TKId                   |     54 |      9 | TKRegister
 22 | TKCteInt               |     54 |     28 | 50
 84 | TKHash                 |     55 |      1 | #
  1 | TKId                   |     55 |      2 | define
  1 | TKId                   |     55 |      9 | TKAuto
 22 | TKCteInt               |     55 |     28 | 51
 84 | TKHash                 |     56 |      1 | #
  1 | TKId                   |     56 |      2 | define
  1 | TKId                   |     56 |      9 | TKDiv
 22 | TKCteInt               |     56 |     28 | 52
 84 | TKHash                 |     57 |      1 | #
  1 | TKId                   |     57 |      2 | define
  1 | TKId                   |     57 |      9 | TKMod
 22 | TKCteInt               |     57 |     28 | 53
 84 | TKHash                 |     58 |      1 | #
  1 | TKId                   |     58 |      2 | define
  1 | TKId                   |     58 |      9 | TKDuploMenos
 22 | TKCteInt               |     58 |     28 | 54
 84 | TKHash                 |     59 |      1 | #
  1 | TKId                   |     59 |      2 | define
  1 | TKId                   |     59 |      9 | TKAtribSub
 22 | TKCteInt               |     59 |     28 | 55
 84 | TKHash                 |     60 |      1 | #
  1 | TKId                   |     60 |      2 | define
  1 | TKId                   |     60 |      9 | TKAtribProd
 22 | TKCteInt               |     60 |     28 | 56
 84 | TKHash                 |     61 |      1 | #
  1 | TKId                   |     61 |      2 | define
  1 | TKId                   |     61 |      9 | TKAtribDiv
 22 | TKCteInt               |     61 |     28 | 57
 84 | TKHash                 |     62 |      1 | #
  1 | TKId                   |     62 |      2 | define
  1 | TKId                   |     62 |      9 | TKAtribMod
 22 | TKCteInt               |     62 |     28 | 58
 84 | TKHash                 |     63 |      1 | #
  1 | TKId                   |     63 |      2 | define
  1 | TKId                   |     63 |      9 | TKAtribAndBit
 22 | TKCteInt               |     63 |     28 | 59
 84 | TKHash                 |     64 |      1 | #
  1 | TKId                   |     64 |      2 | define
  1 | TKId                   |     64 |      9 | TKAtribOrBit
 22 | TKCteInt               |     64 |     28 | 60
 84 | TKHash                 |     65 |      1 | #
  1 | TKId                   |     65 |      2 | define
  1 | TKId                   |     65 |      9 | TKAtribXorBit
 22 | TKCteInt               |     65 |     28 | 61
 84 | TKHash                 |     66 |      1 | #
  1 | TKId                   |     66 |      2 | define
  1 | TKId                   |     66 |      9 | TKAtribShiftLeft
 22 | TKCteInt               |     66 |     28 | 62
 84 | TKHash                 |     67 |      1 | #
  1 | TKId                   |     67 |      2 | define
  1 | TKId                   |     67 |      9 | TKAtribShiftRight
 22 | TKCteInt               |     67 |     28 | 63
 84 | TKHash                 |     68 |      1 | #
  1 | TKId                   |     68 |      2 | define
  1 | TKId                   |     68 |      9 | TKIgual
 22 | TKCteInt               |     68 |     28 | 64
 84 | TKHash                 |     69 |      1 | #
  1 | TKId                   |     69 |      2 | define
  1 | TKId                   |     69 |      9 | TKDiferente
 22 | TKCteInt               |     69 |     28 | 65
 84 | TKHash                 |     70 |      1 | #
  1 | TKId                   |     70 |      2 | define
  1 | TKId                   |     70 |      9 | TKMenor
 22 | TKCteInt               |     70 |     28 | 66
 84 | TKHash                 |     71 |      1 | #
  1 | TKId                   |     71 |      2 | define
  1 | TKId                   |     71 |      9 | TKMaior
 22 | TKCteInt               |     71 |     28 | 67
 84 | TKHash                 |     72 |      1 | #
  1 | TKId                   |     72 |      2 | define
  1 | TKId                   |     72 |      9 | TKMenorIgual
 22 | TKCteInt               |     72 |     28 | 68
 84 | TKHash                 |     73 |      1 | #
  1 | TKId                   |     73 |      2 | define
  1 | TKId                   |     73 |      9 | TKMaiorIgual
 22 | TKCteInt               |     73 |     28 | 69
 84 | TKHash                 |     74 |      1 | #
  1 | TKId                   |     74 |      2 | define
  1 | TKId                   |     74 |      9 | TKE
 22 | TKCteInt               |     74 |     28 | 70
 84 | TKHash                 |     75 |      1 | #
  1 | TKId                   |     75 |      2 | define
  1 | TKId                   |     75 |      9 | TKOu
 22 | TKCteInt               |     75 |     28 | 71
 84 | TKHash                 |     76 |      1 | #
  1 | TKId                   |     76 |      2 | define
  1 | TKId                   |     76 |      9 | TKNao
 22 | TKCteInt               |     76 |     28 | 72
 84 | TKHash                 |     77 |      1 | #
  1 | TKId                   |     77 |      2 | define
  1 | TKId                   |     77 |      9 | TKAndBit
 22 | TKCteInt               |     77 |     28 | 73
 84 | TKHash                 |     78 |      1 | #
  1 | TKId                   |     78 |      2 | define
  1 | TKId                   |     78 |      9 | TKOrBit
 22 | TKCteInt               |     78 |     28 | 74
 84 | TKHash                 |     79 |      1 | #
  1 | TKId                   |     79 |      2 | define
  1 | TKId                   |     79 |      9 | TKXorBit
 22 | TKCteInt               |     79 |     28 | 75
 84 | TKHash                 |     80 |      1 | #
  1 | TKId                   |     80 |      2 | define
  1 | TKId                   |     80 |      9 | TKNotBit
 22 | TKCteInt               |     80 |     28 | 76
 84 | TKHash                 |     81 |      1 | #
  1 | TKId                   |     81 |      2 | define
  1 | TKId                   |     81 |      9 | TKShiftLeft
 22 | TKCteInt               |     81 |     28 | 77
 84 | TKHash                 |     82 |      1 | #
  1 | TKId                   |     82 |      2 | define
  1 | TKId                   |     82 |      9 | TKShiftRight
 22 | TKCteInt               |     82 |     28 | 78
 84 | TKHash                 |     83 |      1 | #
  1 | TKId                   |     83 |      2 | define
  1 | TKId                   |     83 |      9 | TKSeta
 22 | TKCteInt               |     83 |     28 | 79
 84 | TKHash                 |     84 |      1 | #
  1 | TKId                   |     84 |      2 | define
  1 | TKId                   |     84 |      9 | TKPonto
 22 | TKCteInt               |     84 |     28 | 80
 84 | TKHash                 |     85 |      1 | #
  1 | TKId                   |     85 |      2 | define
  1 | TKId                   |     85 |      9 | TKInterrogacao
 22 | TKCteInt               |     85 |     28 | 81
 84 | TKHash                 |     86 |      1 | #
  1 | TKId                   |     86 |      2 | define
  1 | TKId                   |     86 |      9 | TKCteFloat
 22 | TKCteInt               |     86 |     28 | 82
 84 | TKHash                 |     87 |      1 | #
  1 | TKId                   |     87 |      2 | define
  1 | TKId                   |     87 |      9 | TKCteChar
 22 | TKCteInt               |     87 |     28 | 83
 84 | TKHash                 |     88 |      1 | #
  1 | TKId                   |     88 |      2 | define
  1 | TKId                   |     88 |      9 | TKHash
 22 | TKCteInt               |     88 |     28 | 84
 16 | TKChar                 |     91 |      1 | char
  1 | TKId                   |     91 |      6 | nome
 18 | TKAbreColchete         |     91 |     10 | [
 19 | TKFechaColchete        |     91 |     11 | ]
 18 | TKAbreColchete         |     91 |     12 | [
 22 | TKCteInt               |     91 |     13 | 25
 19 | TKFechaColchete        |     91 |     15 | ]
  9 | TKAtrib                |     91 |     17 | =
 11 | TKAbreChaves           |     91 |     19 | {
 25 | TKString               |     92 |      5 | ""
  5 | TKVirgula              |     92 |      7 | ,
 25 | TKString               |     92 |     25 | "TKId"
  5 | TKVirgula              |     92 |     31 | ,
 25 | TKString               |     92 |     45 | "TKVoid"
  5 | TKVirgula              |     92 |     53 | ,
 25 | TKString               |     92 |     65 | "TKInt"
  5 | TKVirgula              |     92 |     72 | ,
 25 | TKString               |     92 |     89 | "TKFloat"
  5 | TKVirgula              |     92 |     98 | ,
 25 | TKString               |     93 |      5 | "TKVirgula"
  5 | TKVirgula              |     93 |     16 | ,
 25 | TKString               |     93 |     25 | "TKDoisPontos"
  5 | TKVirgula              |     93 |     39 | ,
 25 | TKString               |     93 |     45 | "TKAbrePar"
  5 | TKVirgula              |     93 |     56 | ,
 25 | TKString               |     93 |     65 | "TKFechaPar"
  5 | TKVirgula              |     93 |     77 | ,
 25 | TKString               |     93 |     89 | "TKAtrib"
  5 | TKVirgula              |     93 |     98 | ,
 25 | TKString               |     94 |      5 | "TKPontoEVirgula"
  5 | TKVirgula              |     94 |     22 | ,
 25 | TKString               |     94 |     25 | "TKAbreChaves"
  5 | TKVirgula              |     94 |     39 | ,
 25 | TKString               |     94 |     45 | "TKFechaChaves"
  5 | TKVirgula              |     94 |     60 | ,
 25 | TKString               |     94 |     65 | "TKMais"
  5 | TKVirgula              |     94 |     73 | ,
